"abster","eu abstenho
ele abstém
nós abstemos
eles abstêm","Indicativo Presente"
"abster","eu abstinha
ele abstinha
nós abstínhamos
eles abstinham","Indicativo Pretérito Imperfeito"
"abster","eu abstive
ele absteve
nós abstivemos
eles abstiveram","Indicativo Pretérito Perfeito"
"abster","eu abstivera
ele abstivera
nós abstivéramos
eles abstiveram","Indicativo Pretérito Mais-que-perfeito"
"abster","eu absterei
ele absterá
nós absteremos
eles absterão","Indicativo Futuro do Presente"
"abster","eu absteria
ele absteria
nós absteríamos
eles absteriam","Indicativo Futuro do Pretérito"
"abster","que eu abstenha
que ele abstenha
que nós abstenhamos
que eles abstenham","Subjuntivo Presente"
"abster","se eu abstivesse
se ele abstivesse
se nós abstivéssemos
se eles abstivessem","Subjuntivo Pretérito Imperfeito"
"abster","quando eu abstiver
quando ele abstiver
quando nós abstivermos
quando eles abstiverem","Subjuntivo Futuro"
"acudir","eu acudo
ele acode
nós acudimos
eles acodem","Indicativo Presente"
"acudir","eu acudia
ele acudia
nós acudíamos
eles acudiam","Indicativo Pretérito Imperfeito"
"acudir","eu acudi
ele acudiu
nós acudimos
eles acudiram","Indicativo Pretérito Perfeito"
"acudir","eu acudira
ele acudira
nós acudíramos
eles acudiram","Indicativo Pretérito Mais-que-perfeito"
"acudir","eu acudirei
ele acudirá
nós acudiremos
eles acudirão","Indicativo Futuro do Presente"
"acudir","eu acudiria
ele acudiria
nós acudiríamos
eles acudiriam","Indicativo Futuro do Pretérito"
"acudir","que eu acuda
que ele acuda
que nós acudamos
que eles acudam","Subjuntivo Presente"
"acudir","se eu acudisse
se ele acudisse
se nós acudíssemos
se eles acudissem","Subjuntivo Pretérito Imperfeito"
"acudir","quando eu acudir
quando ele acudir
quando nós acudirmos
quando eles acudirem","Subjuntivo Futuro"
